2021-07-17 11:28:44,355 Experiment dir : saves/DQN-HARD-20210717-112844
2021-07-17 11:28:44,356 Args: Namespace(gpu='0', save='DQN-HARD', max_episodes=200, with_buffer=True, with_target=True)
2021-07-17 11:28:44,362 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 11:28:44,362 training_params: {'batch_size': 256, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 15, 'grad_clip': 0.1}
2021-07-17 11:28:44,571 Episode: 1 | Current target score 0 | Score: 20.0
2021-07-17 11:28:44,738 Episode: 2 | Current target score 20.0 | Score: 18.0
2021-07-17 11:28:44,809 Episode: 3 | Current target score 20.0 | Score: 34.0
2021-07-17 11:28:44,896 Episode: 4 | Current target score 20.0 | Score: 28.0
2021-07-17 11:28:44,956 Episode: 5 | Current target score 20.0 | Score: 18.0
2021-07-17 11:28:45,031 Episode: 6 | Current target score 20.0 | Score: 97.0
2021-07-17 11:28:45,109 Episode: 7 | Current target score 20.0 | Score: 25.0
2021-07-17 11:28:45,241 Episode: 8 | Current target score 20.0 | Score: 58.0
2021-07-17 11:28:45,362 Episode: 9 | Current target score 20.0 | Score: 43.0
2021-07-17 11:28:45,443 Episode: 10 | Current target score 20.0 | Score: 18.0
2021-07-17 11:28:45,516 Episode: 11 | Current target score 20.0 | Score: 16.0
2021-07-17 11:28:45,623 Episode: 12 | Current target score 20.0 | Score: 41.0
2021-07-17 11:28:45,699 Episode: 13 | Current target score 20.0 | Score: 25.0
2021-07-17 11:28:45,783 Episode: 14 | Current target score 20.0 | Score: 30.0
2021-07-17 11:28:45,872 Episode: 15 | Current target score 20.0 | Score: 28.0
2021-07-17 11:28:45,974 Episode: 16 | Current target score 20.0 | Score: 41.0
2021-07-17 11:28:46,071 Episode: 17 | Current target score 25.0 | Score: 36.0
2021-07-17 11:28:46,150 Episode: 18 | Current target score 25.0 | Score: 24.0
2021-07-17 11:28:46,221 Episode: 19 | Current target score 25.0 | Score: 15.0
2021-07-17 11:28:46,284 Episode: 20 | Current target score 25.0 | Score: 12.0
2021-07-17 11:28:46,357 Episode: 21 | Current target score 25.0 | Score: 19.0
2021-07-17 11:28:46,440 Episode: 22 | Current target score 25.0 | Score: 22.0
2021-07-17 11:28:46,520 Episode: 23 | Current target score 25.0 | Score: 22.0
2021-07-17 11:28:46,576 Episode: 24 | Current target score 25.0 | Score: 9.0
2021-07-17 11:28:46,632 Episode: 25 | Current target score 25.0 | Score: 10.0
2021-07-17 11:28:46,694 Episode: 26 | Current target score 25.0 | Score: 12.0
2021-07-17 11:28:46,784 Episode: 27 | Current target score 25.0 | Score: 32.0
2021-07-17 11:28:46,848 Episode: 28 | Current target score 25.0 | Score: 14.0
2021-07-17 11:28:46,907 Episode: 29 | Current target score 25.0 | Score: 10.0
2021-07-17 11:28:46,968 Episode: 30 | Current target score 25.0 | Score: 10.0
2021-07-17 11:28:47,048 Episode: 31 | Current target score 25.0 | Score: 22.0
2021-07-17 11:28:47,109 Episode: 32 | Current target score 25.0 | Score: 8.0
2021-07-17 11:28:47,202 Episode: 33 | Current target score 25.0 | Score: 32.0
2021-07-17 11:28:47,301 Episode: 34 | Current target score 25.0 | Score: 37.0
2021-07-17 11:28:47,391 Episode: 35 | Current target score 25.0 | Score: 30.0
2021-07-17 11:28:47,452 Episode: 36 | Current target score 25.0 | Score: 8.0
2021-07-17 11:28:47,542 Episode: 37 | Current target score 25.0 | Score: 25.0
2021-07-17 11:28:47,635 Episode: 38 | Current target score 25.0 | Score: 29.0
2021-07-17 11:28:47,700 Episode: 39 | Current target score 25.0 | Score: 10.0
2021-07-17 11:28:47,922 Episode: 40 | Current target score 25.0 | Score: 123.0
2021-07-17 11:28:48,106 Episode: 41 | Current target score 25.0 | Score: 89.0
2021-07-17 11:28:48,183 Episode: 42 | Current target score 25.0 | Score: 15.0
2021-07-17 11:28:48,339 Episode: 43 | Current target score 25.0 | Score: 78.0
2021-07-17 11:28:48,506 Episode: 44 | Current target score 25.0 | Score: 84.0
2021-07-17 11:28:48,724 Episode: 45 | Current target score 25.0 | Score: 120.0
2021-07-17 11:28:48,912 Episode: 46 | Current target score 25.0 | Score: 96.0
2021-07-17 11:28:49,164 Episode: 47 | Current target score 25.0 | Score: 138.0
2021-07-17 11:28:49,523 Episode: 48 | Current target score 78.0 | Score: 218.0
2021-07-17 11:28:49,948 Episode: 49 | Current target score 84.0 | Score: 263.0
2021-07-17 11:28:50,642 Episode: 50 | Current target score 96.0 | Score: 444.0
2021-07-17 11:28:51,186 Episode: 51 | Current target score 96.0 | Score: 282.0
2021-07-17 11:28:51,604 Episode: 52 | Current target score 138.0 | Score: 238.0
2021-07-17 11:28:52,165 Episode: 53 | Current target score 218.0 | Score: 338.0
