2021-07-17 11:32:56,347 Experiment dir : saves/DQN-HARD-20210717-113256
2021-07-17 11:32:56,348 Args: Namespace(gpu='0', save='DQN-HARD', max_episodes=200, with_buffer=True, with_target=True)
2021-07-17 11:32:56,353 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 11:32:56,353 training_params: {'batch_size': 256, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 15, 'grad_clip': 0.1}
2021-07-17 11:32:56,546 Episode: 1 | Current target score 0 | Score: 61.0
2021-07-17 11:32:56,707 Episode: 2 | Current target score 61.0 | Score: 25.0
2021-07-17 11:32:56,782 Episode: 3 | Current target score 61.0 | Score: 17.0
2021-07-17 11:32:56,877 Episode: 4 | Current target score 61.0 | Score: 11.0
2021-07-17 11:32:56,944 Episode: 5 | Current target score 61.0 | Score: 24.0
2021-07-17 11:32:57,010 Episode: 6 | Current target score 61.0 | Score: 18.0
2021-07-17 11:32:57,070 Episode: 7 | Current target score 61.0 | Score: 18.0
2021-07-17 11:32:57,137 Episode: 8 | Current target score 61.0 | Score: 24.0
2021-07-17 11:32:57,209 Episode: 9 | Current target score 61.0 | Score: 23.0
2021-07-17 11:32:57,267 Episode: 10 | Current target score 61.0 | Score: 16.0
2021-07-17 11:32:57,314 Episode: 11 | Current target score 61.0 | Score: 11.0
2021-07-17 11:32:57,380 Episode: 12 | Current target score 61.0 | Score: 14.0
2021-07-17 11:32:57,448 Episode: 13 | Current target score 61.0 | Score: 12.0
2021-07-17 11:32:57,527 Episode: 14 | Current target score 61.0 | Score: 15.0
2021-07-17 11:32:57,602 Episode: 15 | Current target score 61.0 | Score: 14.0
2021-07-17 11:32:57,668 Episode: 16 | Current target score 61.0 | Score: 11.0
2021-07-17 11:32:57,728 Episode: 17 | Current target score 61.0 | Score: 10.0
2021-07-17 11:32:57,793 Episode: 18 | Current target score 61.0 | Score: 10.0
2021-07-17 11:32:57,861 Episode: 19 | Current target score 61.0 | Score: 13.0
2021-07-17 11:32:57,926 Episode: 20 | Current target score 61.0 | Score: 9.0
2021-07-17 11:32:57,995 Episode: 21 | Current target score 61.0 | Score: 8.0
2021-07-17 11:32:58,066 Episode: 22 | Current target score 61.0 | Score: 11.0
2021-07-17 11:32:58,131 Episode: 23 | Current target score 61.0 | Score: 15.0
2021-07-17 11:32:58,185 Episode: 24 | Current target score 61.0 | Score: 9.0
2021-07-17 11:32:58,243 Episode: 25 | Current target score 61.0 | Score: 11.0
2021-07-17 11:32:58,300 Episode: 26 | Current target score 61.0 | Score: 8.0
2021-07-17 11:32:58,358 Episode: 27 | Current target score 61.0 | Score: 10.0
2021-07-17 11:32:58,417 Episode: 28 | Current target score 61.0 | Score: 10.0
2021-07-17 11:32:58,477 Episode: 29 | Current target score 61.0 | Score: 10.0
2021-07-17 11:32:58,540 Episode: 30 | Current target score 61.0 | Score: 12.0
2021-07-17 11:32:58,603 Episode: 31 | Current target score 61.0 | Score: 9.0
2021-07-17 11:32:58,671 Episode: 32 | Current target score 61.0 | Score: 13.0
2021-07-17 11:32:58,738 Episode: 33 | Current target score 61.0 | Score: 14.0
2021-07-17 11:32:58,808 Episode: 34 | Current target score 61.0 | Score: 14.0
2021-07-17 11:32:58,875 Episode: 35 | Current target score 61.0 | Score: 12.0
2021-07-17 11:32:58,939 Episode: 36 | Current target score 61.0 | Score: 9.0
2021-07-17 11:32:59,002 Episode: 37 | Current target score 61.0 | Score: 8.0
2021-07-17 11:32:59,070 Episode: 38 | Current target score 61.0 | Score: 10.0
2021-07-17 11:32:59,148 Episode: 39 | Current target score 61.0 | Score: 15.0
2021-07-17 11:32:59,221 Episode: 40 | Current target score 61.0 | Score: 10.0
2021-07-17 11:32:59,290 Episode: 41 | Current target score 61.0 | Score: 9.0
2021-07-17 11:32:59,358 Episode: 42 | Current target score 61.0 | Score: 8.0
2021-07-17 11:32:59,422 Episode: 43 | Current target score 61.0 | Score: 10.0
2021-07-17 11:32:59,486 Episode: 44 | Current target score 61.0 | Score: 10.0
2021-07-17 11:32:59,549 Episode: 45 | Current target score 61.0 | Score: 9.0
2021-07-17 11:32:59,612 Episode: 46 | Current target score 61.0 | Score: 8.0
2021-07-17 11:32:59,676 Episode: 47 | Current target score 61.0 | Score: 9.0
2021-07-17 11:32:59,740 Episode: 48 | Current target score 61.0 | Score: 9.0
2021-07-17 11:32:59,803 Episode: 49 | Current target score 61.0 | Score: 9.0
2021-07-17 11:32:59,871 Episode: 50 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:00,023 Episode: 51 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:00,095 Episode: 52 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:00,165 Episode: 53 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:00,236 Episode: 54 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:00,307 Episode: 55 | Current target score 61.0 | Score: 11.0
2021-07-17 11:33:00,377 Episode: 56 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:00,447 Episode: 57 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:00,515 Episode: 58 | Current target score 61.0 | Score: 8.0
2021-07-17 11:33:00,585 Episode: 59 | Current target score 61.0 | Score: 8.0
2021-07-17 11:33:00,662 Episode: 60 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:00,738 Episode: 61 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:00,810 Episode: 62 | Current target score 61.0 | Score: 9.0
2021-07-17 11:33:00,883 Episode: 63 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:00,959 Episode: 64 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:01,036 Episode: 65 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:01,117 Episode: 66 | Current target score 61.0 | Score: 11.0
2021-07-17 11:33:01,197 Episode: 67 | Current target score 61.0 | Score: 11.0
2021-07-17 11:33:01,282 Episode: 68 | Current target score 61.0 | Score: 15.0
2021-07-17 11:33:01,361 Episode: 69 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:01,446 Episode: 70 | Current target score 61.0 | Score: 9.0
2021-07-17 11:33:01,539 Episode: 71 | Current target score 61.0 | Score: 9.0
2021-07-17 11:33:01,633 Episode: 72 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:01,721 Episode: 73 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:01,806 Episode: 74 | Current target score 61.0 | Score: 11.0
2021-07-17 11:33:01,894 Episode: 75 | Current target score 61.0 | Score: 12.0
2021-07-17 11:33:01,977 Episode: 76 | Current target score 61.0 | Score: 9.0
2021-07-17 11:33:02,059 Episode: 77 | Current target score 61.0 | Score: 9.0
2021-07-17 11:33:02,144 Episode: 78 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:02,228 Episode: 79 | Current target score 61.0 | Score: 8.0
2021-07-17 11:33:02,312 Episode: 80 | Current target score 61.0 | Score: 9.0
2021-07-17 11:33:02,398 Episode: 81 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:02,489 Episode: 82 | Current target score 61.0 | Score: 14.0
2021-07-17 11:33:02,579 Episode: 83 | Current target score 61.0 | Score: 11.0
2021-07-17 11:33:02,664 Episode: 84 | Current target score 61.0 | Score: 11.0
2021-07-17 11:33:02,748 Episode: 85 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:02,832 Episode: 86 | Current target score 61.0 | Score: 11.0
2021-07-17 11:33:02,915 Episode: 87 | Current target score 61.0 | Score: 9.0
2021-07-17 11:33:02,999 Episode: 88 | Current target score 61.0 | Score: 10.0
2021-07-17 11:33:03,089 Episode: 89 | Current target score 61.0 | Score: 13.0
2021-07-17 11:33:03,177 Episode: 90 | Current target score 61.0 | Score: 12.0
2021-07-17 11:33:03,278 Episode: 91 | Current target score 61.0 | Score: 13.0
2021-07-17 11:33:03,387 Episode: 92 | Current target score 61.0 | Score: 12.0
2021-07-17 11:33:03,476 Episode: 93 | Current target score 61.0 | Score: 9.0
2021-07-17 11:33:03,572 Episode: 94 | Current target score 61.0 | Score: 15.0
2021-07-17 11:33:03,675 Episode: 95 | Current target score 61.0 | Score: 21.0
2021-07-17 11:33:03,771 Episode: 96 | Current target score 61.0 | Score: 14.0
