2021-07-17 12:11:01,111 Experiment dir : saves/DQN-NoTarget-NoBuffer-20210717-121101
2021-07-17 12:11:01,112 Args: Namespace(gpu='0', save='DQN-NoTarget-NoBuffer', max_episodes=200, with_buffer=False, with_target=False)
2021-07-17 12:11:01,115 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:11:01,115 training_params: {'batch_size': 1, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 1, 'grad_clip': 0.1}
2021-07-17 12:11:01,358 Episode: 1 | Current target score 0 | Score: 38.0
2021-07-17 12:11:01,546 Episode: 2 | Current target score 38.0 | Score: 19.0
2021-07-17 12:11:01,674 Episode: 3 | Current target score 38.0 | Score: 37.0
2021-07-17 12:11:01,790 Episode: 4 | Current target score 38.0 | Score: 12.0
2021-07-17 12:11:01,855 Episode: 5 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:01,956 Episode: 6 | Current target score 38.0 | Score: 13.0
2021-07-17 12:11:02,058 Episode: 7 | Current target score 38.0 | Score: 18.0
2021-07-17 12:11:02,152 Episode: 8 | Current target score 38.0 | Score: 16.0
2021-07-17 12:11:02,274 Episode: 9 | Current target score 38.0 | Score: 44.0
2021-07-17 12:11:02,345 Episode: 10 | Current target score 38.0 | Score: 12.0
2021-07-17 12:11:02,398 Episode: 11 | Current target score 38.0 | Score: 13.0
2021-07-17 12:11:02,447 Episode: 12 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:02,511 Episode: 13 | Current target score 38.0 | Score: 13.0
2021-07-17 12:11:02,581 Episode: 14 | Current target score 38.0 | Score: 15.0
2021-07-17 12:11:02,634 Episode: 15 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:02,742 Episode: 16 | Current target score 38.0 | Score: 16.0
2021-07-17 12:11:02,808 Episode: 17 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:02,878 Episode: 18 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:02,962 Episode: 19 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:03,064 Episode: 20 | Current target score 38.0 | Score: 8.0
2021-07-17 12:11:03,162 Episode: 21 | Current target score 38.0 | Score: 26.0
2021-07-17 12:11:03,251 Episode: 22 | Current target score 38.0 | Score: 13.0
2021-07-17 12:11:03,337 Episode: 23 | Current target score 38.0 | Score: 14.0
2021-07-17 12:11:03,415 Episode: 24 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:03,496 Episode: 25 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:03,567 Episode: 26 | Current target score 38.0 | Score: 8.0
2021-07-17 12:11:03,635 Episode: 27 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:03,693 Episode: 28 | Current target score 38.0 | Score: 14.0
2021-07-17 12:11:03,750 Episode: 29 | Current target score 38.0 | Score: 16.0
2021-07-17 12:11:03,819 Episode: 30 | Current target score 38.0 | Score: 8.0
2021-07-17 12:11:03,891 Episode: 31 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:03,956 Episode: 32 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:04,036 Episode: 33 | Current target score 38.0 | Score: 19.0
2021-07-17 12:11:04,108 Episode: 34 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:04,187 Episode: 35 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:04,280 Episode: 36 | Current target score 38.0 | Score: 12.0
2021-07-17 12:11:04,382 Episode: 37 | Current target score 38.0 | Score: 12.0
2021-07-17 12:11:04,503 Episode: 38 | Current target score 38.0 | Score: 12.0
2021-07-17 12:11:04,629 Episode: 39 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:04,841 Episode: 40 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:04,998 Episode: 41 | Current target score 38.0 | Score: 12.0
2021-07-17 12:11:05,134 Episode: 42 | Current target score 38.0 | Score: 12.0
2021-07-17 12:11:05,233 Episode: 43 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:05,351 Episode: 44 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:05,480 Episode: 45 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:05,580 Episode: 46 | Current target score 38.0 | Score: 8.0
2021-07-17 12:11:05,670 Episode: 47 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:05,764 Episode: 48 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:05,849 Episode: 49 | Current target score 38.0 | Score: 12.0
2021-07-17 12:11:05,962 Episode: 50 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:06,267 Episode: 51 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:06,390 Episode: 52 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:06,535 Episode: 53 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:06,640 Episode: 54 | Current target score 38.0 | Score: 12.0
2021-07-17 12:11:06,717 Episode: 55 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:06,806 Episode: 56 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:06,881 Episode: 57 | Current target score 38.0 | Score: 8.0
2021-07-17 12:11:06,951 Episode: 58 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:07,033 Episode: 59 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:07,121 Episode: 60 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:07,200 Episode: 61 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:07,275 Episode: 62 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:07,346 Episode: 63 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:07,416 Episode: 64 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:07,497 Episode: 65 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:07,570 Episode: 66 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:07,657 Episode: 67 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:07,756 Episode: 68 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:07,858 Episode: 69 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:07,962 Episode: 70 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:08,042 Episode: 71 | Current target score 38.0 | Score: 11.0
2021-07-17 12:11:08,130 Episode: 72 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:08,205 Episode: 73 | Current target score 38.0 | Score: 8.0
2021-07-17 12:11:08,279 Episode: 74 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:08,371 Episode: 75 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:08,458 Episode: 76 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:08,536 Episode: 77 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:08,626 Episode: 78 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:08,712 Episode: 79 | Current target score 38.0 | Score: 8.0
2021-07-17 12:11:08,808 Episode: 80 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:08,912 Episode: 81 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:09,005 Episode: 82 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:09,118 Episode: 83 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:09,215 Episode: 84 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:09,314 Episode: 85 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:09,414 Episode: 86 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:09,513 Episode: 87 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:09,617 Episode: 88 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:09,700 Episode: 89 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:09,790 Episode: 90 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:09,882 Episode: 91 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:09,961 Episode: 92 | Current target score 38.0 | Score: 9.0
2021-07-17 12:11:10,040 Episode: 93 | Current target score 38.0 | Score: 10.0
2021-07-17 12:11:10,132 Episode: 94 | Current target score 38.0 | Score: 12.0
2021-07-17 12:11:10,217 Episode: 95 | Current target score 38.0 | Score: 12.0
