2021-07-17 12:22:10,664 Experiment dir : saves/DQN-SOFT-NoBuffer-20210717-122210
2021-07-17 12:22:10,665 Args: Namespace(gpu='0', save='DQN-SOFT-NoBuffer', max_episodes=200, with_buffer=False, with_target=True)
2021-07-17 12:22:10,669 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:22:10,669 training_params: {'batch_size': 1, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'soft', 'tau': 0.01, 'target_update_period': 15, 'grad_clip': 0.1}
2021-07-17 12:22:10,967 Episode: 1 | Current target score 0 | Score: 33.0
2021-07-17 12:22:11,176 Episode: 2 | Current target score 33.0 | Score: 15.0
2021-07-17 12:22:11,270 Episode: 3 | Current target score 33.0 | Score: 17.0
2021-07-17 12:22:11,397 Episode: 4 | Current target score 33.0 | Score: 20.0
2021-07-17 12:22:11,488 Episode: 5 | Current target score 33.0 | Score: 23.0
2021-07-17 12:22:11,571 Episode: 6 | Current target score 33.0 | Score: 16.0
2021-07-17 12:22:11,649 Episode: 7 | Current target score 33.0 | Score: 20.0
2021-07-17 12:22:11,717 Episode: 8 | Current target score 33.0 | Score: 12.0
2021-07-17 12:22:11,783 Episode: 9 | Current target score 33.0 | Score: 9.0
2021-07-17 12:22:11,901 Episode: 10 | Current target score 33.0 | Score: 28.0
2021-07-17 12:22:12,004 Episode: 11 | Current target score 33.0 | Score: 12.0
2021-07-17 12:22:12,111 Episode: 12 | Current target score 33.0 | Score: 15.0
2021-07-17 12:22:12,200 Episode: 13 | Current target score 33.0 | Score: 9.0
2021-07-17 12:22:12,300 Episode: 14 | Current target score 33.0 | Score: 14.0
2021-07-17 12:22:12,392 Episode: 15 | Current target score 33.0 | Score: 9.0
2021-07-17 12:22:12,480 Episode: 16 | Current target score 33.0 | Score: 12.0
2021-07-17 12:22:12,572 Episode: 17 | Current target score 33.0 | Score: 14.0
2021-07-17 12:22:12,654 Episode: 18 | Current target score 33.0 | Score: 11.0
2021-07-17 12:22:12,732 Episode: 19 | Current target score 33.0 | Score: 11.0
