2021-07-17 12:13:43,752 Experiment dir : saves/DQN-NoTarget-20210717-121343
2021-07-17 12:13:43,753 Args: Namespace(gpu='0', save='DQN-NoTarget', max_episodes=200, with_buffer=True, with_target=False)
2021-07-17 12:13:43,755 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:13:43,755 training_params: {'batch_size': 256, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 1, 'grad_clip': 0.1}
2021-07-17 12:13:43,909 Episode: 1 | Current target score 0 | Score: 23.0
2021-07-17 12:13:44,060 Episode: 2 | Current target score 23.0 | Score: 10.0
2021-07-17 12:13:44,120 Episode: 3 | Current target score 23.0 | Score: 17.0
2021-07-17 12:13:44,207 Episode: 4 | Current target score 23.0 | Score: 24.0
2021-07-17 12:13:44,254 Episode: 5 | Current target score 23.0 | Score: 11.0
2021-07-17 12:13:44,302 Episode: 6 | Current target score 23.0 | Score: 19.0
2021-07-17 12:13:44,344 Episode: 7 | Current target score 23.0 | Score: 11.0
2021-07-17 12:13:44,395 Episode: 8 | Current target score 23.0 | Score: 24.0
2021-07-17 12:13:44,458 Episode: 9 | Current target score 23.0 | Score: 20.0
2021-07-17 12:13:44,528 Episode: 10 | Current target score 23.0 | Score: 11.0
2021-07-17 12:13:44,592 Episode: 11 | Current target score 23.0 | Score: 40.0
2021-07-17 12:13:44,651 Episode: 12 | Current target score 23.0 | Score: 14.0
2021-07-17 12:13:44,706 Episode: 13 | Current target score 23.0 | Score: 10.0
2021-07-17 12:13:44,767 Episode: 14 | Current target score 23.0 | Score: 20.0
2021-07-17 12:13:44,873 Episode: 15 | Current target score 23.0 | Score: 27.0
2021-07-17 12:13:44,952 Episode: 16 | Current target score 23.0 | Score: 13.0
2021-07-17 12:13:45,039 Episode: 17 | Current target score 23.0 | Score: 13.0
2021-07-17 12:13:45,124 Episode: 18 | Current target score 23.0 | Score: 14.0
2021-07-17 12:13:45,281 Episode: 19 | Current target score 23.0 | Score: 14.0
2021-07-17 12:13:45,354 Episode: 20 | Current target score 23.0 | Score: 9.0
2021-07-17 12:13:45,427 Episode: 21 | Current target score 23.0 | Score: 10.0
2021-07-17 12:13:45,518 Episode: 22 | Current target score 23.0 | Score: 9.0
2021-07-17 12:13:45,619 Episode: 23 | Current target score 23.0 | Score: 9.0
2021-07-17 12:13:45,714 Episode: 24 | Current target score 23.0 | Score: 12.0
2021-07-17 12:13:45,849 Episode: 25 | Current target score 23.0 | Score: 12.0
2021-07-17 12:13:45,979 Episode: 26 | Current target score 23.0 | Score: 10.0
2021-07-17 12:13:46,282 Episode: 27 | Current target score 23.0 | Score: 10.0
2021-07-17 12:13:46,427 Episode: 28 | Current target score 23.0 | Score: 9.0
2021-07-17 12:13:46,573 Episode: 29 | Current target score 23.0 | Score: 11.0
2021-07-17 12:13:46,703 Episode: 30 | Current target score 23.0 | Score: 9.0
2021-07-17 12:13:46,813 Episode: 31 | Current target score 23.0 | Score: 10.0
2021-07-17 12:13:46,918 Episode: 32 | Current target score 23.0 | Score: 10.0
2021-07-17 12:13:47,036 Episode: 33 | Current target score 23.0 | Score: 10.0
2021-07-17 12:13:47,140 Episode: 34 | Current target score 23.0 | Score: 14.0
2021-07-17 12:13:47,241 Episode: 35 | Current target score 23.0 | Score: 14.0
