2021-07-17 11:18:56,535 Experiment dir : saves/DQN-SOFT-20210717-111856
2021-07-17 11:18:56,535 Args: Namespace(gpu='0', save='DQN-SOFT', max_episodes=200, with_buffer=True, with_target=True)
2021-07-17 11:18:56,539 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 11:18:56,539 training_params: {'batch_size': 256, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'soft', 'tau': 0.01, 'target_update_period': 15, 'grad_clip': 0.1}
2021-07-17 11:18:56,760 Episode: 1 | Current target score 0 | Score: 10.0
2021-07-17 11:18:57,056 Episode: 2 | Current target score 10.0 | Score: 37.0
2021-07-17 11:18:57,150 Episode: 3 | Current target score 10.0 | Score: 19.0
2021-07-17 11:18:57,263 Episode: 4 | Current target score 10.0 | Score: 13.0
2021-07-17 11:18:57,342 Episode: 5 | Current target score 10.0 | Score: 31.0
2021-07-17 11:18:57,429 Episode: 6 | Current target score 10.0 | Score: 27.0
2021-07-17 11:18:57,507 Episode: 7 | Current target score 13.0 | Score: 15.0
2021-07-17 11:18:57,586 Episode: 8 | Current target score 13.0 | Score: 11.0
2021-07-17 11:18:57,646 Episode: 9 | Current target score 13.0 | Score: 19.0
2021-07-17 11:18:57,712 Episode: 10 | Current target score 13.0 | Score: 9.0
2021-07-17 11:18:57,770 Episode: 11 | Current target score 13.0 | Score: 24.0
2021-07-17 11:18:57,830 Episode: 12 | Current target score 13.0 | Score: 10.0
2021-07-17 11:18:57,907 Episode: 13 | Current target score 13.0 | Score: 40.0
2021-07-17 11:18:58,001 Episode: 14 | Current target score 13.0 | Score: 27.0
2021-07-17 11:18:58,070 Episode: 15 | Current target score 13.0 | Score: 14.0
2021-07-17 11:18:58,136 Episode: 16 | Current target score 13.0 | Score: 11.0
2021-07-17 11:18:58,219 Episode: 17 | Current target score 13.0 | Score: 17.0
2021-07-17 11:18:58,291 Episode: 18 | Current target score 13.0 | Score: 14.0
2021-07-17 11:18:58,429 Episode: 19 | Current target score 13.0 | Score: 17.0
2021-07-17 11:18:58,514 Episode: 20 | Current target score 13.0 | Score: 14.0
2021-07-17 11:18:58,594 Episode: 21 | Current target score 13.0 | Score: 12.0
2021-07-17 11:18:58,674 Episode: 22 | Current target score 13.0 | Score: 10.0
2021-07-17 11:18:58,800 Episode: 23 | Current target score 13.0 | Score: 16.0
