2021-07-17 12:09:38,564 Experiment dir : saves/DQN-NoTarget-NoBuffer-20210717-120938
2021-07-17 12:09:38,564 Args: Namespace(gpu='0', save='DQN-NoTarget-NoBuffer', max_episodes=200, with_buffer=False, with_target=False)
2021-07-17 12:09:38,570 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:09:38,570 training_params: {'batch_size': 1, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 1, 'grad_clip': 0.1}
2021-07-17 12:09:38,776 Episode: 1 | Current target score 0 | Score: 20.0
2021-07-17 12:09:38,963 Episode: 2 | Current target score 20.0 | Score: 21.0
2021-07-17 12:09:39,073 Episode: 3 | Current target score 20.0 | Score: 21.0
2021-07-17 12:09:39,191 Episode: 4 | Current target score 20.0 | Score: 9.0
2021-07-17 12:09:39,311 Episode: 5 | Current target score 20.0 | Score: 37.0
2021-07-17 12:09:39,413 Episode: 6 | Current target score 20.0 | Score: 16.0
2021-07-17 12:09:39,507 Episode: 7 | Current target score 20.0 | Score: 25.0
2021-07-17 12:09:39,580 Episode: 8 | Current target score 20.0 | Score: 12.0
2021-07-17 12:09:39,662 Episode: 9 | Current target score 20.0 | Score: 16.0
2021-07-17 12:09:39,764 Episode: 10 | Current target score 20.0 | Score: 27.0
2021-07-17 12:09:39,840 Episode: 11 | Current target score 20.0 | Score: 15.0
2021-07-17 12:09:39,922 Episode: 12 | Current target score 20.0 | Score: 14.0
2021-07-17 12:09:40,049 Episode: 13 | Current target score 20.0 | Score: 46.0
2021-07-17 12:09:40,156 Episode: 14 | Current target score 20.0 | Score: 34.0
2021-07-17 12:09:40,210 Episode: 15 | Current target score 20.0 | Score: 13.0
2021-07-17 12:09:40,272 Episode: 16 | Current target score 20.0 | Score: 17.0
2021-07-17 12:09:40,325 Episode: 17 | Current target score 20.0 | Score: 10.0
2021-07-17 12:09:40,381 Episode: 18 | Current target score 20.0 | Score: 12.0
2021-07-17 12:09:40,439 Episode: 19 | Current target score 20.0 | Score: 10.0
2021-07-17 12:09:40,500 Episode: 20 | Current target score 20.0 | Score: 14.0
2021-07-17 12:09:40,557 Episode: 21 | Current target score 20.0 | Score: 10.0
2021-07-17 12:09:40,623 Episode: 22 | Current target score 20.0 | Score: 11.0
2021-07-17 12:09:40,687 Episode: 23 | Current target score 20.0 | Score: 13.0
2021-07-17 12:09:40,744 Episode: 24 | Current target score 20.0 | Score: 10.0
2021-07-17 12:09:40,800 Episode: 25 | Current target score 20.0 | Score: 16.0
2021-07-17 12:09:40,851 Episode: 26 | Current target score 20.0 | Score: 10.0
2021-07-17 12:09:40,903 Episode: 27 | Current target score 20.0 | Score: 8.0
2021-07-17 12:09:40,961 Episode: 28 | Current target score 20.0 | Score: 11.0
2021-07-17 12:09:41,018 Episode: 29 | Current target score 20.0 | Score: 12.0
2021-07-17 12:09:41,081 Episode: 30 | Current target score 20.0 | Score: 10.0
2021-07-17 12:09:41,140 Episode: 31 | Current target score 20.0 | Score: 9.0
2021-07-17 12:09:41,199 Episode: 32 | Current target score 20.0 | Score: 13.0
2021-07-17 12:09:41,257 Episode: 33 | Current target score 20.0 | Score: 11.0
2021-07-17 12:09:41,315 Episode: 34 | Current target score 20.0 | Score: 11.0
2021-07-17 12:09:41,376 Episode: 35 | Current target score 20.0 | Score: 14.0
2021-07-17 12:09:41,437 Episode: 36 | Current target score 20.0 | Score: 9.0
2021-07-17 12:09:41,498 Episode: 37 | Current target score 20.0 | Score: 11.0
2021-07-17 12:09:41,558 Episode: 38 | Current target score 20.0 | Score: 10.0
2021-07-17 12:09:41,622 Episode: 39 | Current target score 20.0 | Score: 12.0
2021-07-17 12:09:41,681 Episode: 40 | Current target score 20.0 | Score: 8.0
2021-07-17 12:09:41,742 Episode: 41 | Current target score 20.0 | Score: 8.0
2021-07-17 12:09:41,808 Episode: 42 | Current target score 20.0 | Score: 11.0
2021-07-17 12:09:41,864 Episode: 43 | Current target score 20.0 | Score: 9.0
