2021-07-17 12:15:38,240 Experiment dir : saves/DQN-NoTarget-20210717-121538
2021-07-17 12:15:38,240 Args: Namespace(gpu='0', save='DQN-NoTarget', max_episodes=200, with_buffer=True, with_target=False)
2021-07-17 12:15:38,244 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:15:38,244 training_params: {'batch_size': 256, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 1, 'grad_clip': 0.1}
2021-07-17 12:15:38,410 Episode: 1 | Current target score 0 | Score: 18.0
2021-07-17 12:15:38,596 Episode: 2 | Current target score 18.0 | Score: 16.0
2021-07-17 12:15:38,666 Episode: 3 | Current target score 18.0 | Score: 21.0
2021-07-17 12:15:38,754 Episode: 4 | Current target score 18.0 | Score: 17.0
2021-07-17 12:15:38,814 Episode: 5 | Current target score 18.0 | Score: 23.0
2021-07-17 12:15:38,885 Episode: 6 | Current target score 18.0 | Score: 44.0
2021-07-17 12:15:38,952 Episode: 7 | Current target score 18.0 | Score: 15.0
2021-07-17 12:15:39,038 Episode: 8 | Current target score 18.0 | Score: 16.0
2021-07-17 12:15:39,130 Episode: 9 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:39,192 Episode: 10 | Current target score 18.0 | Score: 11.0
2021-07-17 12:15:39,257 Episode: 11 | Current target score 18.0 | Score: 19.0
2021-07-17 12:15:39,306 Episode: 12 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:39,355 Episode: 13 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:39,415 Episode: 14 | Current target score 18.0 | Score: 11.0
2021-07-17 12:15:39,474 Episode: 15 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:39,539 Episode: 16 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:39,726 Episode: 17 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:39,808 Episode: 18 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:39,889 Episode: 19 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:39,992 Episode: 20 | Current target score 18.0 | Score: 17.0
2021-07-17 12:15:40,075 Episode: 21 | Current target score 18.0 | Score: 15.0
2021-07-17 12:15:40,150 Episode: 22 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:40,213 Episode: 23 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:40,276 Episode: 24 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:40,367 Episode: 25 | Current target score 18.0 | Score: 12.0
2021-07-17 12:15:40,450 Episode: 26 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:40,540 Episode: 27 | Current target score 18.0 | Score: 11.0
2021-07-17 12:15:40,607 Episode: 28 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:40,674 Episode: 29 | Current target score 18.0 | Score: 15.0
2021-07-17 12:15:40,742 Episode: 30 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:40,813 Episode: 31 | Current target score 18.0 | Score: 11.0
2021-07-17 12:15:40,892 Episode: 32 | Current target score 18.0 | Score: 11.0
2021-07-17 12:15:40,957 Episode: 33 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:41,027 Episode: 34 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:41,092 Episode: 35 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:41,161 Episode: 36 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:41,247 Episode: 37 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:41,331 Episode: 38 | Current target score 18.0 | Score: 14.0
2021-07-17 12:15:41,406 Episode: 39 | Current target score 18.0 | Score: 11.0
2021-07-17 12:15:41,486 Episode: 40 | Current target score 18.0 | Score: 12.0
2021-07-17 12:15:41,586 Episode: 41 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:41,681 Episode: 42 | Current target score 18.0 | Score: 12.0
2021-07-17 12:15:41,752 Episode: 43 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:41,920 Episode: 44 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:42,034 Episode: 45 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:42,122 Episode: 46 | Current target score 18.0 | Score: 12.0
2021-07-17 12:15:42,204 Episode: 47 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:42,301 Episode: 48 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:42,414 Episode: 49 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:42,569 Episode: 50 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:42,889 Episode: 51 | Current target score 18.0 | Score: 8.0
2021-07-17 12:15:42,973 Episode: 52 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:43,063 Episode: 53 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:43,165 Episode: 54 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:43,285 Episode: 55 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:43,388 Episode: 56 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:43,487 Episode: 57 | Current target score 18.0 | Score: 11.0
2021-07-17 12:15:43,590 Episode: 58 | Current target score 18.0 | Score: 12.0
2021-07-17 12:15:43,697 Episode: 59 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:43,807 Episode: 60 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:43,900 Episode: 61 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:44,001 Episode: 62 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:44,080 Episode: 63 | Current target score 18.0 | Score: 8.0
2021-07-17 12:15:44,170 Episode: 64 | Current target score 18.0 | Score: 8.0
2021-07-17 12:15:44,254 Episode: 65 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:44,350 Episode: 66 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:44,450 Episode: 67 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:44,543 Episode: 68 | Current target score 18.0 | Score: 9.0
2021-07-17 12:15:44,627 Episode: 69 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:44,709 Episode: 70 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:44,810 Episode: 71 | Current target score 18.0 | Score: 10.0
2021-07-17 12:15:44,909 Episode: 72 | Current target score 18.0 | Score: 10.0
