2021-07-17 12:18:46,617 Experiment dir : saves/DQN-HARD-NoBuffer-20210717-121846
2021-07-17 12:18:46,617 Args: Namespace(gpu='0', save='DQN-HARD-NoBuffer', max_episodes=200, with_buffer=False, with_target=True)
2021-07-17 12:18:46,623 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:18:46,623 training_params: {'batch_size': 1, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 15, 'grad_clip': 0.1}
2021-07-17 12:18:46,892 Episode: 1 | Current target score 0 | Score: 12.0
2021-07-17 12:18:47,093 Episode: 2 | Current target score 12.0 | Score: 14.0
2021-07-17 12:18:47,185 Episode: 3 | Current target score 12.0 | Score: 14.0
2021-07-17 12:18:47,330 Episode: 4 | Current target score 12.0 | Score: 35.0
2021-07-17 12:18:47,415 Episode: 5 | Current target score 12.0 | Score: 20.0
2021-07-17 12:18:47,507 Episode: 6 | Current target score 12.0 | Score: 24.0
2021-07-17 12:18:47,614 Episode: 7 | Current target score 14.0 | Score: 23.0
2021-07-17 12:18:47,682 Episode: 8 | Current target score 14.0 | Score: 15.0
2021-07-17 12:18:47,762 Episode: 9 | Current target score 15.0 | Score: 19.0
2021-07-17 12:18:47,874 Episode: 10 | Current target score 15.0 | Score: 19.0
2021-07-17 12:18:47,964 Episode: 11 | Current target score 15.0 | Score: 21.0
2021-07-17 12:18:48,025 Episode: 12 | Current target score 15.0 | Score: 13.0
2021-07-17 12:18:48,100 Episode: 13 | Current target score 15.0 | Score: 9.0
2021-07-17 12:18:48,167 Episode: 14 | Current target score 15.0 | Score: 13.0
2021-07-17 12:18:48,221 Episode: 15 | Current target score 15.0 | Score: 12.0
2021-07-17 12:18:48,278 Episode: 16 | Current target score 15.0 | Score: 15.0
2021-07-17 12:18:48,389 Episode: 17 | Current target score 15.0 | Score: 11.0
2021-07-17 12:18:48,467 Episode: 18 | Current target score 15.0 | Score: 19.0
2021-07-17 12:18:48,535 Episode: 19 | Current target score 15.0 | Score: 10.0
2021-07-17 12:18:48,599 Episode: 20 | Current target score 15.0 | Score: 10.0
2021-07-17 12:18:48,677 Episode: 21 | Current target score 15.0 | Score: 14.0
2021-07-17 12:18:48,793 Episode: 22 | Current target score 15.0 | Score: 15.0
